,,1,2,3,4,cra,1p,2p,3p,4p
-122.307872,47.617387,45,123,9,3,Central Area/Squire Park,0.25,0.6833333333333333,0.05,0.016666666666666666
-122.391108,47.545088,14,8,0,0,Fauntleroy/Seaview,0.6363636363636364,0.36363636363636365,0.0,0.0
-122.39595600000001,47.564774,24,42,6,0,West Seattle Junction/Genesee Hill,0.3333333333333333,0.5833333333333334,0.08333333333333333,0.0
-122.310116,47.572993,30,20,0,0,North Beacon Hill/Jefferson Park,0.6,0.4,0.0,0.0
-122.32579799999999,47.526165,10,9,0,0,South Park,0.5263157894736842,0.47368421052631576,0.0,0.0
-122.307891,47.721526000000004,32,24,0,0,Olympic Hills/Victory Heights,0.5714285714285714,0.42857142857142855,0.0,0.0
-122.36105900000001,47.688891999999996,37,58,2,0,Greenwood/Phinney Ridge,0.38144329896907214,0.5979381443298969,0.020618556701030927,0.0
-122.320071,47.541464000000005,30,25,0,1,Georgetown,0.5357142857142857,0.44642857142857145,0.0,0.017857142857142856
-122.35560100000001,47.664722,33,76,3,1,Fremont,0.2920353982300885,0.672566371681416,0.02654867256637168,0.008849557522123894
-122.378153,47.534864,14,7,0,0,Roxhill/Westwood,0.6666666666666666,0.3333333333333333,0.0,0.0
-122.334453,47.622776,41,118,11,5,Cascade/Eastlake,0.2342857142857143,0.6742857142857143,0.06285714285714286,0.02857142857142857
-122.35551699999999,47.670848,24,53,3,0,Greenwood/Phinney Ridge,0.3,0.6625,0.0375,0.0
-122.35941799999999,47.661765,42,80,3,1,Fremont,0.3333333333333333,0.6349206349206349,0.023809523809523808,0.007936507936507936
-122.361465,47.545384999999996,7,3,0,0,Riverview,0.7,0.3,0.0,0.0
-122.305543,47.707629,24,18,0,0,Olympic Hills/Victory Heights,0.5714285714285714,0.42857142857142855,0.0,0.0
-122.36119,47.565121000000005,6,8,0,0,North Delridge,0.42857142857142855,0.5714285714285714,0.0,0.0
-122.322938,47.599396,61,83,10,1,Pioneer Square/International District,0.3935483870967742,0.535483870967742,0.06451612903225806,0.0064516129032258064
-122.288878,47.713002,21,18,0,0,Cedar Park/Meadowbrook,0.5384615384615384,0.46153846153846156,0.0,0.0
-122.364015,47.564959,12,11,0,0,North Delridge,0.5217391304347826,0.4782608695652174,0.0,0.0
-122.367901,47.555251,11,10,0,0,North Delridge,0.5238095238095238,0.47619047619047616,0.0,0.0
-122.30564299999999,47.601702,53,55,5,0,Central Area/Squire Park,0.4690265486725664,0.48672566371681414,0.04424778761061947,0.0
-122.32127,47.700713,31,22,0,0,Northgate/Maple Leaf,0.5849056603773585,0.41509433962264153,0.0,0.0
-122.303797,47.630885,21,39,3,0,Miller Park,0.3333333333333333,0.6190476190476191,0.047619047619047616,0.0
-122.388742,47.644086,22,26,2,0,Interbay,0.44,0.52,0.04,0.0
-122.382327,47.559212,29,47,4,0,West Seattle Junction/Genesee Hill,0.3625,0.5875,0.05,0.0
-122.377389,47.672064,52,103,2,0,Ballard,0.33121019108280253,0.6560509554140127,0.012738853503184714,0.0
-122.318408,47.620714,42,139,7,3,Capitol Hill,0.2198952879581152,0.7277486910994765,0.03664921465968586,0.015706806282722512
-122.388701,47.65764,57,91,2,0,Interbay,0.38,0.6066666666666667,0.013333333333333334,0.0
-122.29663799999999,47.542671,15,10,0,0,South Beacon Hill/NewHolly,0.6,0.4,0.0,0.0
-122.38213400000001,47.655231,52,86,1,0,Interbay,0.37410071942446044,0.6187050359712231,0.007194244604316547,0.0
-122.29721699999999,47.665882,38,44,3,0,Ravenna/Bryant,0.4470588235294118,0.5176470588235295,0.03529411764705882,0.0
-122.303931,47.580116,35,19,1,0,North Beacon Hill/Jefferson Park,0.6363636363636364,0.34545454545454546,0.01818181818181818,0.0
-122.350153,47.661871999999995,41,98,7,2,Fremont,0.27702702702702703,0.6621621621621622,0.0472972972972973,0.013513513513513514
-122.35665,47.658029,36,82,3,2,Fremont,0.2926829268292683,0.6666666666666666,0.024390243902439025,0.016260162601626018
-122.319204,47.704175,31,26,0,0,Northgate/Maple Leaf,0.543859649122807,0.45614035087719296,0.0,0.0
-122.35531100000001,47.619279,47,122,7,4,Queen Anne,0.2611111111111111,0.6777777777777778,0.03888888888888889,0.022222222222222223
-122.317475,47.640503,8,23,2,0,Montlake/Portage Bay,0.24242424242424243,0.696969696969697,0.06060606060606061,0.0
-122.37179499999999,47.677406,55,92,0,0,Whittier Heights,0.3741496598639456,0.6258503401360545,0.0,0.0
